"Gene","differential expression tissue","differential expression P-value","used in regulatory network reconstruction?","estimated regulatory direction","social connectivity","phylostrata category","SwissProt ID","constraint"
"LOC105827748","larva → nurse abdomen","CG",8.70717143143206e-35,"larv",0.144786708376693,"worker larva","yes","307658:00398d"
"LOC105827748","nurse head → larva","CH",0.000147394650776204,"nurse",0.242103395114579,"nurse head","yes","307658:00398d"
"LOC105827748","larva → nurse head","CH",8.70717143143206e-35,"larv",0.159751298759497,"worker larva","yes","307658:00398d"
"LOC105827748","nurse abdomen → larva","CG",0.000975142489273074,"nurse",0.252059666359519,"nurse abdomen","yes","307658:00398d"
"LOC105827753",NA,NA,0.0404662456677695,NA,NA,"worker larva","no","307658:003c54"
"LOC105827754",NA,NA,1.51805640196719e-08,NA,NA,"worker larva","no","307658:00194a"
"LOC105827755",NA,NA,0.0350011821776271,NA,NA,"worker larva","no","307658:0046a3"
"LOC105827756","larva → nurse head","CH",3.00427747080541e-26,"larv",0.16037822159141,"worker larva","yes","307658:0046a4"
"LOC105827756","larva → nurse abdomen","CG",3.00427747080541e-26,"larv",0.228023572728673,"worker larva","yes","307658:0046a4"
"LOC105827757","larva → nurse abdomen","CG",1.10148030438703e-72,"larv",0.18684595106478,"worker larva","yes",NA
"LOC105827757","larva → nurse head","CH",1.10148030438703e-72,"larv",0.15141529868098,"worker larva","yes",NA
"LOC105827757",NA,NA,0.00949854991627885,NA,NA,"nurse head","no",NA
"LOC105827758",NA,NA,0.0291446276808049,NA,NA,"nurse abdomen","no","307658:002145"
"LOC105827758","larva → nurse abdomen","CG",1.36138634132106e-41,"larv",0.223486931609279,"worker larva","yes","307658:002145"
"LOC105827758","larva → nurse head","CH",1.36138634132106e-41,"larv",0.194486523970406,"worker larva","yes","307658:002145"
"LOC105827759",NA,NA,8.59926957135362e-16,NA,NA,"worker larva","no","307658:00390b"
"LOC105827759","nurse abdomen → larva","CG",0.0079999933939757,"nurse",0.0739270587518901,"nurse abdomen","yes","307658:00390b"
"LOC105827760",NA,NA,2.36950516415741e-13,NA,NA,"worker larva","no","307658:0005bf"
"LOC105827762","nurse abdomen → larva","CG",0.00195209806384264,"nurse",0.100047472253519,"nurse abdomen","yes","307658:00389c"
"LOC105827763",NA,NA,3.92739935796698e-06,NA,NA,"worker larva","no","307658:00389d"
"LOC105827764",NA,NA,0.00436629334116201,NA,NA,"worker larva","no","307658:003537"
"LOC105827765",NA,NA,4.54473284904224e-08,NA,NA,"worker larva","no","307658:003098"
"LOC105827766",NA,NA,2.47120667168274e-13,NA,NA,"worker larva","no","307658:003099"
"LOC105827767",NA,NA,0.000228539916254188,NA,NA,"worker larva","no","307658:00309a"
"LOC105827769","nurse abdomen → larva","CG",0.00216961509990784,"nurse",0.147482005561777,"nurse abdomen","yes","307658:0032bf"
"LOC105827769",NA,NA,0.00114049147376712,NA,NA,"worker larva","no","307658:0032bf"
