"","GO","evidence","gene"
"1","GO:0007165","ISS","LOC105833070"
"2","GO:0007608","ISS","LOC105833755"
"3","GO:0006464","ISS","LOC105837655"
"4","GO:0006812","ISS","LOC105841004"
"5","GO:0006511","ISS","LOC105828485"
"6","GO:0008152","ISS","LOC105829165"
"7","GO:0006289","ISS","LOC105829731"
"8","GO:0043161","ISS","LOC105829731"
"9","GO:0007018","ISS","LOC105829915"
"10","GO:0055114","ISS","LOC105831542"
"11","GO:0030001","ISS","LOC105832596"
"12","GO:0055085","ISS","LOC105832596"
"13","GO:0006508","ISS","LOC105832668"
"14","GO:0007165","ISS","LOC105833181"
"15","GO:0006508","ISS","LOC105834423"
"16","GO:0055114","ISS","LOC105835225"
"17","GO:0055114","ISS","LOC105835225"
"18","GO:0055114","ISS","LOC105835225"
"19","GO:0055114","ISS","LOC105835087"
"20","GO:0055114","ISS","LOC105835087"
"21","GO:0008152","ISS","LOC105837233"
"22","GO:0006508","ISS","LOC105836214"
"23","GO:0006810","ISS","LOC105837514"
"24","GO:0006811","ISS","LOC105837514"
"25","GO:0007608","ISS","LOC105837898"
"26","GO:0055085","ISS","LOC105839391"
"27","GO:0055085","ISS","LOC105839391"
"28","GO:0055085","ISS","LOC105839225"
"29","GO:0055085","ISS","LOC105839225"
"30","GO:0055085","ISS","LOC105839162"
"31","GO:0055085","ISS","LOC105839162"
"32","GO:0023052","ISS","LOC105840206"
"33","GO:0015696","ISS","LOC105840243"
"34","GO:0006281","ISS","LOC105840302"
"35","GO:0006468","ISS","LOC105840335"
"36","GO:0006468","ISS","LOC105840353"
"37","GO:0006355","ISS","LOC105840452"
"38","GO:0006281","ISS","LOC105840524"
"39","GO:0006508","ISS","LOC105840584"
"40","GO:0006511","ISS","LOC105840557"
"41","GO:0006511","ISS","LOC105840557"
"42","GO:0006012","ISS","LOC105840821"
"43","GO:0006012","ISS","LOC105840821"
"44","GO:0007165","ISS","LOC105840936"
"45","GO:0008152","ISS","LOC105841057"
"46","GO:0007608","ISS","LOC105841017"
"47","GO:0006886","ISS","LOC105841126"
"48","GO:0016192","ISS","LOC105841126"
"49","GO:0006508","ISS","LOC105841161"
"50","GO:0006508","ISS","LOC105841161"
"51","GO:0006508","ISS","LOC105827787"
"52","GO:0055085","ISS","LOC105827802"
"53","GO:0055085","ISS","LOC105827802"
"54","GO:0015937","ISS","LOC105827829"
"55","GO:0006096","ISS","LOC105827881"
"56","GO:0006886","ISS","LOC105827896"
"57","GO:0018149","ISS","LOC105827925"
"58","GO:0018149","ISS","LOC105827925"
"59","GO:0018149","ISS","LOC105827925"
"60","GO:0006468","ISS","LOC105828088"
"61","GO:0006629","ISS","LOC105828203"
"62","GO:0007165","ISS","LOC105828203"
"63","GO:0035556","ISS","LOC105828203"
"64","GO:0006355","ISS","LOC105828302"
"65","GO:0006030","ISS","LOC105828533"
"66","GO:0035023","ISS","LOC105828598"
"67","GO:0006270","ISS","LOC105828641"
"68","GO:0006355","ISS","LOC105828677"
"69","GO:0006030","ISS","LOC105828747"
"70","GO:0000398","ISS","LOC105828794"
"71","GO:0007165","ISS","LOC105828885"
"72","GO:0046854","ISS","LOC105828911"
"73","GO:0006886","ISS","LOC105829010"
"74","GO:0016192","ISS","LOC105829010"
"75","GO:0006886","ISS","LOC105829010"
"76","GO:0016192","ISS","LOC105829010"
"77","GO:0007608","ISS","LOC105829059"
"78","GO:0045454","ISS","LOC105829179"
"79","GO:0050909","ISS","LOC105829241"
"80","GO:0006221","ISS","LOC105829312"
"81","GO:0006511","ISS","LOC105829347"
"82","GO:0006412","ISS","LOC105829372"
"83","GO:0006412","ISS","LOC105829372"
"84","GO:0008152","ISS","LOC105829514"
"85","GO:0007010","ISS","LOC105829589"
"86","GO:0055085","ISS","LOC105829582"
"87","GO:0055085","ISS","LOC105829582"
"88","GO:0006000","ISS","LOC105829694"
"89","GO:0055085","ISS","LOC105829677"
"90","GO:0055085","ISS","LOC105829677"
"91","GO:0005975","ISS","LOC105829762"
"92","GO:0005975","ISS","LOC105829762"
"93","GO:0005975","ISS","LOC105829762"
"94","GO:0005975","ISS","LOC105829762"
"95","GO:0005975","ISS","LOC105829762"
"96","GO:0006030","ISS","LOC105829762"
"97","GO:0006030","ISS","LOC105829762"
"98","GO:0006030","ISS","LOC105829762"
"99","GO:0006030","ISS","LOC105829762"
"100","GO:0006030","ISS","LOC105829762"
"101","GO:0006468","ISS","LOC105829835"
"102","GO:0007186","ISS","LOC105829924"
"103","GO:0007186","ISS","LOC105829924"
"104","GO:0007155","ISS","LOC105829909"
"105","GO:0007155","ISS","LOC105829935"
"106","GO:0006810","ISS","LOC105829945"
"107","GO:0005975","ISS","LOC105829982"
"108","GO:0006508","ISS","LOC105830003"
"109","GO:0006470","ISS","LOC105830010"
"110","GO:0008643","ISS","LOC105830085"
"111","GO:0005975","ISS","LOC105830095"
"112","GO:0055114","ISS","LOC105830256"
"113","GO:0055114","ISS","LOC105830266"
"114","GO:0006396","ISS","LOC105830324"
"115","GO:0008152","ISS","LOC105830411"
"116","GO:0051276","ISS","LOC105830432"
"117","GO:0006468","ISS","LOC105830455"
"118","GO:0009165","ISS","LOC105830463"
"119","GO:0009116","ISS","LOC105830463"
"120","GO:0006508","ISS","LOC105830550"
"121","GO:0055085","ISS","LOC105830636"
"122","GO:0055085","ISS","LOC105830636"
"123","GO:0008152","ISS","LOC105830679"
"124","GO:0055114","ISS","LOC105830679"
"125","GO:0055114","ISS","LOC105830708"
"126","GO:0006468","ISS","LOC105830817"
"127","GO:0045116","ISS","LOC105830846"
"128","GO:0008152","ISS","LOC105830913"
"129","GO:0006810","ISS","LOC105830944"
"130","GO:0055085","ISS","LOC105830944"
"131","GO:0009312","ISS","LOC105830950"
"132","GO:0009312","ISS","LOC105830950"
"133","GO:0006508","ISS","LOC105831005"
"134","GO:0006508","ISS","LOC105831005"
"135","GO:0006508","ISS","LOC105831081"
"136","GO:0006508","ISS","LOC105831050"
"137","GO:0006511","ISS","LOC105831102"
"138","GO:0006511","ISS","LOC105831102"
"139","GO:0006355","ISS","LOC105831135"
"140","GO:0006511","ISS","LOC105831150"
"141","GO:0006511","ISS","LOC105831150"
"142","GO:0055114","ISS","LOC105831244"
"143","GO:0006629","ISS","LOC105831282"
"144","GO:0007608","ISS","LOC105831298"
"145","GO:0055114","ISS","LOC105831327"
"146","GO:0008152","ISS","LOC105831327"
"147","GO:0055114","ISS","LOC105831327"
"148","GO:0030328","ISS","LOC105831429"
"149","GO:0055114","ISS","LOC105831429"
"150","GO:0008152","ISS","LOC105831494"
"151","GO:0006468","ISS","LOC105831499"
"152","GO:0006030","ISS","LOC105831547"
"153","GO:0006030","ISS","LOC105831547"
"154","GO:0006030","ISS","LOC105831547"
"155","GO:0051205","ISS","LOC105831664"
"156","GO:0006893","ISS","LOC105831734"
"157","GO:0030154","ISS","LOC105831784"
"158","GO:0055114","ISS","LOC105831819"
"159","GO:0006351","ISS","LOC105832002"
"160","GO:0007049","ISS","LOC105832002"
"161","GO:0006418","ISS","LOC105832117"
"162","GO:0006418","ISS","LOC105832117"
"163","GO:0006886","ISS","LOC105832182"
"164","GO:0016192","ISS","LOC105832182"
"165","GO:0006886","ISS","LOC105832182"
"166","GO:0016192","ISS","LOC105832182"
"167","GO:0006886","ISS","LOC105832182"
"168","GO:0016192","ISS","LOC105832182"
"169","GO:0006338","ISS","LOC105832233"
"170","GO:0005975","ISS","LOC105832174"
"171","GO:0006414","ISS","LOC105832388"
"172","GO:0055114","ISS","LOC105832405"
"173","GO:0006281","ISS","LOC105832484"
"174","GO:0055114","ISS","LOC105832550"
"175","GO:0006511","ISS","LOC105832585"
"176","GO:0006508","ISS","LOC105832618"
"177","GO:0006508","ISS","LOC105832618"
"178","GO:0006355","ISS","LOC105832679"
"179","GO:0006869","ISS","LOC105832806"
"180","GO:0006869","ISS","LOC105832806"
"181","GO:0006869","ISS","LOC105832806"
"182","GO:0006869","ISS","LOC105832855"
"183","GO:0006869","ISS","LOC105832855"
"184","GO:0006869","ISS","LOC105832855"
"185","GO:0006511","ISS","LOC105832908"
"186","GO:0006511","ISS","LOC105832908"
"187","GO:0006511","ISS","LOC105832908"
"188","GO:0008152","ISS","LOC105832926"
"189","GO:0055114","ISS","LOC105832926"
"190","GO:0055114","ISS","LOC105832926"
"191","GO:0055114","ISS","LOC105832926"
"192","GO:0006221","ISS","LOC105832980"
"193","GO:0009058","ISS","LOC105832985"
"194","GO:0006006","ISS","LOC105833128"
"195","GO:0055114","ISS","LOC105833128"
"196","GO:0006006","ISS","LOC105833128"
"197","GO:0055114","ISS","LOC105833128"
"198","GO:0005975","ISS","LOC105833154"
"199","GO:0006629","ISS","LOC105833176"
"200","GO:0006511","ISS","LOC105833571"
"201","GO:0006511","ISS","LOC105833571"
"202","GO:0008033","ISS","LOC105833608"
"203","GO:0055114","ISS","LOC105833608"
"204","GO:0008152","ISS","LOC105833617"
"205","GO:0007165","ISS","LOC105833637"
"206","GO:0007205","ISS","LOC105833701"
"207","GO:0055114","ISS","LOC105833684"
"208","GO:0055114","ISS","LOC105833684"
"209","GO:0005975","ISS","LOC105833679"
"210","GO:0006030","ISS","LOC105833679"
"211","GO:0006508","ISS","LOC105833867"
"212","GO:0006508","ISS","LOC105833867"
"213","GO:0043087","ISS","LOC105833936"
"214","GO:0008152","ISS","LOC105833950"
"215","GO:0006468","ISS","LOC105834200"
"216","GO:0044262","ISS","LOC105834266"
"217","GO:0009253","ISS","LOC105834280"
"218","GO:0006355","ISS","LOC105834302"
"219","GO:0006355","ISS","LOC105834302"
"220","GO:0006355","ISS","LOC105834302"
"221","GO:0006355","ISS","LOC105834302"
"222","GO:0006355","ISS","LOC105834302"
"223","GO:0006529","ISS","LOC105834463"
"224","GO:0055114","ISS","LOC105834571"
"225","GO:0006164","ISS","LOC105834631"
"226","GO:0006177","ISS","LOC105834631"
"227","GO:0008152","ISS","LOC105834637"
"228","GO:0055114","ISS","LOC105834645"
"229","GO:0008152","ISS","LOC105834651"
"230","GO:0006418","ISS","LOC105834666"
"231","GO:0006413","ISS","LOC105834666"
"232","GO:0006413","ISS","LOC105834666"
"233","GO:0043039","ISS","LOC105834666"
"234","GO:0006508","ISS","LOC105834724"
"235","GO:0031167","ISS","LOC105834732"
"236","GO:0032259","ISS","LOC105834732"
"237","GO:0006355","ISS","LOC105834792"
"238","GO:0055085","ISS","LOC105834834"
"239","GO:0006139","ISS","LOC105835104"
"240","GO:0055114","ISS","LOC105835281"
"241","GO:0055114","ISS","LOC105835256"
"242","GO:0055114","ISS","LOC105835338"
"243","GO:0055085","ISS","LOC105835342"
"244","GO:0055085","ISS","LOC105835342"
"245","GO:0006629","ISS","LOC105835374"
"246","GO:0007156","ISS","LOC105835439"
"247","GO:0007156","ISS","LOC105835439"
"248","GO:0007156","ISS","LOC105835439"
"249","GO:0007156","ISS","LOC105835439"
"250","GO:0007156","ISS","LOC105835439"
"251","GO:0007156","ISS","LOC105835439"
"252","GO:0007156","ISS","LOC105835439"
"253","GO:0007156","ISS","LOC105835439"
"254","GO:0007156","ISS","LOC105835439"
"255","GO:0007156","ISS","LOC105835439"
"256","GO:0006357","ISS","LOC105835464"
"257","GO:0006281","ISS","LOC105835538"
"258","GO:0055114","ISS","LOC105835589"
"259","GO:0016070","ISS","LOC105835637"
"260","GO:0016070","ISS","LOC105835637"
"261","GO:0006508","ISS","LOC105835671"
"262","GO:0006508","ISS","LOC105835671"
"263","GO:0006813","ISS","LOC105835685"
"264","GO:0006813","ISS","LOC105835685"
"265","GO:0006508","ISS","LOC105835693"
"266","GO:0006817","ISS","LOC105835822"
"267","GO:0006817","ISS","LOC105835822"
"268","GO:0006817","ISS","LOC105835822"
"269","GO:0006817","ISS","LOC105835822"
"270","GO:0006869","ISS","LOC105835926"
"271","GO:0006869","ISS","LOC105835926"
"272","GO:0006869","ISS","LOC105835926"
"273","GO:0007018","ISS","LOC105835985"
"274","GO:0006887","ISS","LOC105836070"
"275","GO:0048278","ISS","LOC105836070"
"276","GO:0055114","ISS","LOC105836139"
"277","GO:0007156","ISS","LOC105836522"
"278","GO:0007156","ISS","LOC105836513"
"279","GO:0007156","ISS","LOC105836513"
"280","GO:0007156","ISS","LOC105836513"
"281","GO:0007156","ISS","LOC105836513"
"282","GO:0007156","ISS","LOC105836513"
"283","GO:0007156","ISS","LOC105836513"
"284","GO:0007156","ISS","LOC105836513"
"285","GO:0007156","ISS","LOC105836513"
"286","GO:0051260","ISS","LOC105836727"
"287","GO:0008152","ISS","LOC105836799"
"288","GO:0007155","ISS","LOC105836846"
